Question/Deficiency,Category,Question_ID,Recommended Action,Suggested Corrective Action
Does the company promote a culture of security with a robust Supply Chain Security Program in place?,I. Security Vision and Responsibility,I.1,Your Company must promote a culture of security and you must have a strong Supply Chain Security Program.,Please confirm that you will work on a strong program for Supply Chain Security. Please explain how you will do this.
Has a representative from all relevant departments been appointed to a cross-functional team for supply chain security?,I. Security Vision and Responsibility,I.2,Please appoint a representative from all relevant supply chain departments to gain knowledge about C-TPAT.,Appoint representatives from each department to help strengthen the supply chain security program.
Is the Supply Chain Security Program designed with written review components that hold personnel accountable?,I. Security Vision and Responsibility,I.3,Your Company's Supply Chain Security Program must be designed with and supported by an appropriate written review component.,Implement a written review process that holds personnel accountable for their responsibilities in the supply chain.
Are the company's points of contact to Importers knowledgeable about C-TPAT requirements and provide regular updates to upper management?,I. Security Vision and Responsibility,I.4,The Company's points of contact (POC) to the Importer of Records MUST BE knowledgeable about the C-TPAT Program requirements.,Ensure POCs provide upper management with regular updates on issues related to the program and maintain current knowledge of C-TPAT requirements.
Is there a process to determine potential risks and security vulnerabilities within the supply chain?,II. Risk Assessment,II.1,You must have a process in place to determine potential risks and security vulnerabilities within your supply chain.,Please provide your written risk assessment procedure that identifies and addresses potential security vulnerabilities.
Are risk assessments reviewed annually or more frequently as risk factors dictate?,II. Risk Assessment,II.2,You must review your company's Risk assessments annually or more frequently as risk factors dictate.,Implement a schedule for reviewing risk assessments at least annually and develop criteria for when additional reviews should be conducted.
Are processes and procedures in place to address crisis situations (security recovery plan disaster recovery plan business continuity plans)?,II. Risk Assessment,II.3,Your company must have a Business Continuity Plan to address these issues.,Develop a comprehensive plan that includes security review/recovery disaster recovery and business continuity/resumption procedures.
Does the company have a written risk-based process for screening new business partners and monitoring current partners?,III. Business Partners,III.1,Your Company must have a written risk based process for screening new business partners and for monitoring current partners.,Implement formal vetting procedures for all new partners and regular monitoring of existing partners based on risk assessment.
When outsourcing parts of the supply chain does the company advise U.S. partners of 3rd party outsourcing for vetting?,III. Business Partners,III.2,You must advise your business partner with any 3rd party outsourcing so that they can vet them.,Establish a communication protocol to notify U.S. partners of all third-party outsourcing arrangements prior to implementation.
When weaknesses are identified by U.S. business partners are they addressed and corrected in a timely manner?,III. Business Partners,III.3,Your company must address and correct any identified weaknesses in a timely manner.,Create a corrective action process with specific timeframes for addressing and resolving identified security weaknesses.
Does the business partner selection process include investigating potential money laundering and terrorist funding activities?,III. Business Partners,III.4,The business partner selection process MUST include investigating potential activities related to money laundering and terrorist funding.,Develop screening procedures that include checks against relevant watch lists and suspicious activity monitoring.
Is there a process to examine business partners to ensure goods/services are not produced with prohibited forms of labor?,III. Business Partners,III.5,Your company must have a process to closely examine your business partners to ensure prohibited labor is not used.,Implement a verification system to ensure sourced goods are not produced using slave convict forced labor or forced child labor.
Are comprehensive written cybersecurity policies and procedures in place?,IV. Cybersecurity,IV.1,Your company MUST have a strong Cybersecurity Policy in place.,Develop formal documentation covering network security access controls data protection incident response and security awareness training. Please send us your document policy.
Are all company computers and systems protected by software and/or hardware firewalls?,IV. Cybersecurity,IV.2,Your Company computers and systems must be protected by software and/or hardware firewalls.,Implement firewalls that detect and prevent illicit intrusion data alteration and unauthorized access. Please explain what you are doing to protect your computers.
Is the company's IT infrastructure and network regularly tested for security vulnerabilities?,IV. Cybersecurity,IV.3,Your company's IT infrastructure and network systems are required to be regularly tested for security.,Establish a regular testing schedule with immediate corrective actions for any vulnerabilities found.
Is there a system to identify unauthorized access of IT systems/data or abuse of policies?,IV. Cybersecurity,IV.4,You must have a system in place to identify unauthorized access of computer IT systems/data or abuse of policies and procedures.,Implement monitoring for improper access internal/external system abuse and tampering or altering of business data.
Are cybersecurity policies reviewed annually or more frequently as risk factors dictate?,IV. Cybersecurity,IV.5,Cybersecurity policies must be reviewed annually and updated more frequently as needed.,Establish a formal review process with documentation of all changes and updates to policies.
Is user access restricted based on job description and reviewed regularly?,IV. Cybersecurity,IV.6,User access MUST BE restricted based upon job description to ensure access to sensitive systems is based on job requirements.,Implement role-based access controls with regular reviews to verify appropriate system access.
Are all company IT systems password protected with individually assigned accounts?,IV. Cybersecurity,IV.7,All your Company IT systems must be password protected with access granted to authorized users with individually assigned accounts.,Ensure passwords are changed periodically (30-90 days) and follow complexity requirements.
If remote users connect to the network do they use secure technologies like VPN?,IV. Cybersecurity,IV.8,Remote users must use secure technologies such as a Virtual Private Network (VPN) when employees work outside the Company offices.,Implement secure connection protocols for all remote access to company systems.
Is all IT equipment that contains sensitive information regarding import/export processes accounted for through regular inventories?,IV. Cybersecurity,IV.9,All IT equipment must be accounted for because it contains sensitive information regarding import/export processes.,Establish a regular inventory process for all media hardware and other IT equipment.
Are all conveyances and Instruments of International Traffic (IIT) stored in a secure area to prevent unauthorized access?,V. Conveyance and IIT Security,V.1,IIT and Conveyances must be stored in secured areas.,Implement security measures to prevent unauthorized access to storage areas containing conveyances and IIT.
Are there written procedures for both security and agricultural inspections?,V. Conveyance and IIT Security,V.2,The C-TPAT inspection process MUST have written procedures in place for both security and agricultural inspections.,Develop and document detailed procedures for conducting security and agricultural inspections of all conveyances.
Are containers inspected using a 7-point inspection process prior to stuffing?,V. Conveyance and IIT Security,V.3,You must have a 7 pt inspection process in place for containers.,Implement a 9-point inspection that includes the standard 7 points plus visible pest inspection and container cleaning before loading.
Are tractor-trailers inspected using a 17-point inspection process?,V. Conveyance and IIT Security,V.4,Tractor-Trailers: You must use a 17 point inspection process for all tractor/trailers.,Implement the full 17-point inspection process following industry standards for thorough inspection.
Are conveyances and IIT equipped with external hardware that can withstand tampering attempts?,V. Conveyance and IIT Security,V.5,IIT must be equipped with external hardware that can reasonably withstand attempts to remove it.,Ensure all doors handles rods hasps rivets brackets and locking mechanisms can be properly inspected for tampering.
Is there a process to alert business partners and law enforcement if security threats to shipments are discovered?,V. Conveyance and IIT Security,V.6,Supply chain security is everyone's responsibility. You must agree to immediately email us if security breaches occur.,Develop a notification protocol for alerting partners and authorities of any credible or detected security threats.
